frame.number$frame.time$frame.len$eth.src$eth.dst$ip.src$ip.dst$ip.proto$ip.len$tcp.len$tcp.srcport$tcp.dstport$_ws.col.Info
21$Mar 27, 2020 20:42:33.575102245 IST$74$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$216.58.203.163$6$60$0$53294$80$53294 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1962952444 TSecr=0 WS=128
22$Mar 27, 2020 20:42:33.579713835 IST$147$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$192.168.0.1$192.168.0.105$17$133$$$$Standard query response 0x1c3b AAAA ocsp.pki.goog CNAME pki-goog.l.google.com AAAA 2404:6800:4009:803::2003 OPT
23$Mar 27, 2020 20:42:33.588816066 IST$74$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$216.58.203.163$192.168.0.105$6$60$0$80$53294$80 → 53294 [SYN, ACK] Seq=0 Ack=1 Win=60192 Len=0 MSS=1380 SACK_PERM=1 TSval=2467650242 TSecr=1962952444 WS=256
24$Mar 27, 2020 20:42:33.588848143 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$216.58.203.163$6$52$0$53294$80$53294 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1962952458 TSecr=2467650242
25$Mar 27, 2020 20:42:33.588969630 IST$448$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$216.58.203.163$6$434$382$53294$80$Request
26$Mar 27, 2020 20:42:33.605154693 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$216.58.203.163$192.168.0.105$6$52$0$80$53294$80 → 53294 [ACK] Seq=1 Ack=383 Win=61440 Len=0 TSval=2467650258 TSecr=1962952458
27$Mar 27, 2020 20:42:33.665454360 IST$768$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$216.58.203.163$192.168.0.105$6$754$702$80$53294$Response
28$Mar 27, 2020 20:42:33.665479334 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$216.58.203.163$6$52$0$53294$80$53294 → 80 [ACK] Seq=383 Ack=703 Win=64128 Len=0 TSval=1962952535 TSecr=2467650318
29$Mar 27, 2020 20:42:33.666634684 IST$130$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$116$64$39190$443$Change Cipher Spec, Application Data
30$Mar 27, 2020 20:42:33.668326403 IST$509$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$495$443$39190$443$Application Data, Application Data
31$Mar 27, 2020 20:42:33.685171949 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$52$0$443$39190$443 → 39190 [ACK] Seq=3067 Ack=582 Win=61440 Len=0 TSval=692200737 TSecr=1523824790
32$Mar 27, 2020 20:42:33.685188866 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$52$0$443$39190$443 → 39190 [ACK] Seq=3067 Ack=1025 Win=62464 Len=0 TSval=692200737 TSecr=1523824792
33$Mar 27, 2020 20:42:33.685596183 IST$646$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$632$580$443$39190$Application Data, Application Data
34$Mar 27, 2020 20:42:33.685605211 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$52$0$39190$443$39190 → 443 [ACK] Seq=1025 Ack=3647 Win=64128 Len=0 TSval=1523824809 TSecr=692200737
35$Mar 27, 2020 20:42:33.685753544 IST$97$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$83$31$39190$443$Application Data
36$Mar 27, 2020 20:42:33.685829058 IST$97$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$83$31$443$39190$Application Data
37$Mar 27, 2020 20:42:33.705889563 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$52$0$443$39190$443 → 39190 [ACK] Seq=3678 Ack=1056 Win=62464 Len=0 TSval=692200757 TSecr=1523824809
38$Mar 27, 2020 20:42:33.727719873 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$52$0$39190$443$39190 → 443 [ACK] Seq=1056 Ack=3678 Win=64128 Len=0 TSval=1523824851 TSecr=692200737
39$Mar 27, 2020 20:42:33.748245639 IST$505$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$491$439$443$39190$Application Data
40$Mar 27, 2020 20:42:33.748271180 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$52$0$39190$443$39190 → 443 [ACK] Seq=1056 Ack=4117 Win=64128 Len=0 TSval=1523824871 TSecr=692200799
41$Mar 27, 2020 20:42:33.748443124 IST$629$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$615$563$443$39190$Application Data
42$Mar 27, 2020 20:42:33.748450376 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$52$0$39190$443$39190 → 443 [ACK] Seq=1056 Ack=4680 Win=64128 Len=0 TSval=1523824872 TSecr=692200799
43$Mar 27, 2020 20:42:33.749123648 IST$123$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$109$57$443$39190$Application Data
44$Mar 27, 2020 20:42:33.749132252 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$52$0$39190$443$39190 → 443 [ACK] Seq=1056 Ack=4737 Win=64128 Len=0 TSval=1523824872 TSecr=692200800
45$Mar 27, 2020 20:42:33.749507299 IST$97$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$83$31$443$39190$Application Data
46$Mar 27, 2020 20:42:33.749516982 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$52$0$39190$443$39190 → 443 [ACK] Seq=1056 Ack=4768 Win=64128 Len=0 TSval=1523824873 TSecr=692200800
47$Mar 27, 2020 20:42:33.749522802 IST$105$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$91$39$443$39190$Application Data
48$Mar 27, 2020 20:42:33.749527886 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$52$0$39190$443$39190 → 443 [ACK] Seq=1056 Ack=4807 Win=64128 Len=0 TSval=1523824873 TSecr=692200800
49$Mar 27, 2020 20:42:33.749616197 IST$105$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$172.217.166.74$6$91$39$39190$443$Application Data
50$Mar 27, 2020 20:42:33.768705978 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$172.217.166.74$192.168.0.105$6$52$0$443$39190$443 → 39190 [ACK] Seq=4807 Ack=1095 Win=62464 Len=0 TSval=692200820 TSecr=1523824873
51$Mar 27, 2020 20:42:33.993242038 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$51.89.6.202$192.168.0.105$6$52$0$80$40139$[TCP Keep-Alive] [TCP ACKed unseen segment] 80 → 40139 [ACK] Seq=0 Ack=2 Win=286 Len=0 TSval=1410768813 TSecr=3912611088
52$Mar 27, 2020 20:42:33.993266915 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$51.89.6.202$6$52$0$40139$80$[TCP Previous segment not captured] 40139 → 80 [ACK] Seq=2 Ack=1 Win=501 Len=0 TSval=3912621326 TSecr=1410763739
53$Mar 27, 2020 20:42:33.993840060 IST$103$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$35.167.176.149$6$89$37$54956$443$Application Data
54$Mar 27, 2020 20:42:34.300449371 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$35.167.176.149$192.168.0.105$6$52$0$443$54956$443 → 54956 [ACK] Seq=1 Ack=38 Win=118 Len=0 TSval=423258317 TSecr=1752938574
55$Mar 27, 2020 20:42:34.300469975 IST$99$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$35.167.176.149$192.168.0.105$6$85$33$443$54956$Application Data
56$Mar 27, 2020 20:42:34.347728323 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.105$35.167.176.149$6$52$0$54956$443$54956 → 443 [ACK] Seq=38 Ack=34 Win=501 Len=0 TSval=1752938928 TSecr=423258317
57$Mar 27, 2020 20:42:36.656361892 IST$42$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$$$$$$$$Who has 192.168.0.105? Tell 192.168.0.1
58$Mar 27, 2020 20:42:36.656373543 IST$42$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$$$$$$$$192.168.0.105 is at 98:22:ef:d5:cc:2f
59$Mar 27, 2020 20:42:37.167702692 IST$97$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$35.167.176.149$192.168.0.105$6$83$31$443$54956$Application Data
