frame.number$frame.time$frame.len$eth.src$eth.dst$ip.src$ip.dst$ip.proto$ip.len$tcp.len$tcp.srcport$tcp.dstport$_ws.col.Info
25$Apr 10, 2020 16:27:49.230267398 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$216.58.203.163$192.168.0.106$6$52$0$443$48070$443 → 48070 [ACK] Seq=40 Ack=140 Win=272 Len=0 TSval=2114790185 TSecr=2824284883
26$Apr 10, 2020 16:27:49.286362173 IST$148$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$216.58.203.163$192.168.0.106$6$134$82$443$48070$Application Data
27$Apr 10, 2020 16:27:49.286401094 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.106$216.58.203.163$6$52$0$48070$443$48070 → 443 [ACK] Seq=140 Ack=122 Win=3516 Len=0 TSval=2824284969 TSecr=2114790241
28$Apr 10, 2020 16:27:49.286652504 IST$171$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$216.58.203.163$192.168.0.106$6$157$105$443$48070$Application Data, Application Data
29$Apr 10, 2020 16:27:49.286671675 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.106$216.58.203.163$6$52$0$48070$443$48070 → 443 [ACK] Seq=140 Ack=227 Win=3516 Len=0 TSval=2824284970 TSecr=2114790241
30$Apr 10, 2020 16:27:49.286682807 IST$105$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$216.58.203.163$192.168.0.106$6$91$39$443$48070$Application Data
31$Apr 10, 2020 16:27:49.286695215 IST$66$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.106$216.58.203.163$6$52$0$48070$443$48070 → 443 [ACK] Seq=140 Ack=266 Win=3516 Len=0 TSval=2824284970 TSecr=2114790241
32$Apr 10, 2020 16:27:49.287027517 IST$105$98:22:ef:d5:cc:2f$68:ff:7b:9c:eb:36$192.168.0.106$216.58.203.163$6$91$39$48070$443$Application Data
33$Apr 10, 2020 16:27:49.299567781 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$216.58.203.163$192.168.0.106$6$52$0$443$48070$443 → 48070 [ACK] Seq=266 Ack=179 Win=272 Len=0 TSval=2114790254 TSecr=2824284970
34$Apr 10, 2020 16:27:49.299734940 IST$66$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$216.58.203.163$192.168.0.106$6$52$0$443$48070$[TCP Dup ACK 33#1] 443 → 48070 [ACK] Seq=266 Ack=179 Win=272 Len=0 TSval=2114790255 TSecr=2824284970
35$Apr 10, 2020 16:27:50.184181014 IST$111$68:ff:7b:9c:eb:36$98:22:ef:d5:cc:2f$117.18.232.200$192.168.0.106$6$97$57$443$42436$Application Data
